responseid,recordeddate,duration,q1_opcao,q1_nota,q2,plataforma,pesquisa,referer,di_device_type,pubaccid,list_id,category_id,intercept_show_phone,intercept_adview_buyer_sent_msg,intercept_chatlist_buyer_sent_msg,intercept_user_clicked_on_adreply,dt
R_1gcMR3YChnuYxJ2,2021-11-23T17:58:24.712Z,18,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,a198c055-5332-4676-9881-9c5c4e1f9780,indefinido,indefinido,,,Sim,,2022-02-15
R_ULJVMHBBuqwBczL,2021-11-23T17:58:40.952Z,9,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,fce7fd8c-99a2-41a9-b77b-863d10672e72,indefinido,indefinido,,,Sim,,2022-02-15
R_1LkAEzdGz2cI0Cr,2021-11-23T17:58:54.293Z,8,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,mobile,2ea7c7ae-d703-4991-8b03-cae64edbba88,960292455,1040,,Sim,,,2022-02-15
R_1QxOzToAiAHChOK,2021-11-23T17:59:28.406Z,43,"É boa, consigo negociar",3,Eu comprar um geladeira.. vc vende geladeira barato?? Meu número 35 992666419 WhatsApp ,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,mobile,b28fb767-b315-439a-99d7-d269e2603fdb,950339097,5040,,Sim,,,2022-02-15
R_1i4AdZ5Lxkfu3M9,2021-11-23T18:00:14.170Z,9,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pr.olx.com.br/,desktop,07b9119e-ff3f-44eb-b80d-11f8ff37f9fa,960431845,2020,,Sim,,,2022-02-15
R_2Pd5m4lIDxhDgIp,2021-11-23T18:00:24.702Z,57,"É ruim, tenho dificuldade",2,"Segurança, tem pessoas que abusa de valor, tem pessoas que só de vc mandar uma proposta eles xinga ou fala muita besteira e essas pessoas por mais que denuncia não são bloqueadas",Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,f9aa57d4-78b1-4fb1-941b-07dcb4bb2d05,960418080,2020,,Sim,,,2022-02-15
R_3r2QeK8u57yJvnh,2021-11-23T18:00:35.239Z,25,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,2450e520-24e4-42c7-be03-f677a634dfb3,960299661,2020,,Sim,,,2022-02-15
R_1Kew9yDhoIv1L4f,2021-11-23T18:00:39.625Z,8,"É boa, consigo negociar",3,.,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,3ce618f6-566a-4eba-a489-dd17f7aa4077,indefinido,indefinido,,,Sim,,2022-02-15
R_33rnBlFGG4jrbhG,2021-11-23T18:00:59.793Z,20,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,58c8313e-8fb2-46af-b88d-f232acdfd28e,955844587,1020,,Sim,,,2022-02-15
R_3qJUBHVCPNrA8uU,2021-11-23T18:01:01.314Z,26,É muito bom negociar na OLX,4,muito bom. é Rapido e pratico,Web,OLX_Buyer_Negotiation,https://df.olx.com.br/,desktop,5b8209bd-f985-4964-b335-57881f66f81b,958543085,3020,,Sim,,,2022-02-15
R_QiVWsZkAlwSBEGJ,2021-11-23T18:01:06.819Z,15,"É ruim, tenho dificuldade",2,Nada,Web,OLX_Buyer_Negotiation,https://df.olx.com.br/,mobile,388e1348-7ca9-4975-972d-b86bf67a21d5,960393426,3060,,Sim,,,2022-02-15
R_1d66IRnAdw96yNF,2021-11-23T18:01:21.053Z,15,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,c48a80bd-ea16-4ac8-a313-7279a2a5df34,indefinido,indefinido,,,Sim,,2022-02-15
R_YWWCjFcJ9ghX2uJ,2021-11-23T18:01:25.896Z,10,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,5e59e4c3-ed8e-4f7d-b61b-8b4720a02c22,indefinido,indefinido,,,Sim,,2022-02-15
R_1N8G80PO7F9Yqej,2021-11-23T18:01:31.747Z,20,É muito bom negociar na OLX,4,top,Web,OLX_Buyer_Negotiation,https://df.olx.com.br/,desktop,af4ec3cd-06d1-433f-abe4-b112ec9d2795,958524274,2020,,Sim,,,2022-02-15
R_3nlcMQZvljQX2Rt,2021-11-23T18:01:47.776Z,15,É muito bom negociar na OLX,4,Obrigada Olx !!!,Web,OLX_Buyer_Negotiation,https://sc.olx.com.br/,desktop,836b4195-9100-46ce-abfd-c4b0670cfebb,960426552,2020,,Sim,,,2022-02-15
R_bBM423bJ7Q2yI81,2021-11-23T18:02:11.181Z,9,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,0a672ac4-929a-44e1-b41e-6567d24121a5,indefinido,indefinido,,,Sim,,2022-02-15
R_zTop9dN4aQ5wIil,2021-11-23T18:02:13.859Z,103,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,1a840993-cb17-4c11-9e2b-83e3f9b35284,indefinido,indefinido,,,Sim,,2022-02-15
R_OkEdGN1VRbqJPW1,2021-11-23T18:02:19.428Z,12,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,d206046e-0ba6-41b1-b354-52b76e7ab160,indefinido,indefinido,,,Sim,,2022-02-15
R_31R7yC9verAhPar,2021-11-23T18:02:29.652Z,24,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,7efc9b24-6e10-45ce-9fca-b67f27d2546f,indefinido,indefinido,,,Sim,,2022-02-15
R_237gPMAmlG7IRC6,2021-11-23T18:02:29.809Z,7,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,,aafeebd4-deb0-458a-b3db-08ede6bf545f,indefinido,indefinido,,,Sim,,2022-02-15
R_3q82OMppRHwy9JD,2021-11-24T17:01:12.094Z,9,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://mg.olx.com.br/,desktop,9dd4c945-8a29-4515-b9a8-9aeba065f152,959601964,3040,,Sim,,,2022-02-15
R_1IYMtLYc697ggLA,2021-11-24T17:01:12.897Z,7,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,2914e89a-9b1d-4b4a-8306-be4f078fad84,indefinido,indefinido,,,Sim,,2022-02-15
R_2Y8JyjsvEnXavlN,2021-11-24T17:01:20.651Z,14,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,858d20c2-28a2-4cf8-b423-e162ffbd3a53,960907600,1002,Sim,,,,2022-02-15
R_10ZYZptA51QNQgH,2021-11-24T17:01:21.489Z,10,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://sc.olx.com.br/,desktop,8482a540-2b93-4a59-966f-5204bcdbe2dd,958418358,5040,,Sim,,,2022-02-15
R_2E5fvb0dfN2D6jq,2021-11-24T17:01:26.778Z,6,"É péssimo, nunca consigo fechar negócio",1,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,,indefinido,indefinido,,,Sim,,2022-02-15
R_3gXTVAdE137n2Tb,2021-11-24T17:01:27.118Z,10,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://ma.olx.com.br/,mobile,c69b2761-1581-4839-b93b-b885d656cf3f,960730877,3060,,Sim,,,2022-02-15
R_3lzPysltEYRGldV,2021-11-24T17:01:27.968Z,20,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://se.olx.com.br/,desktop,6b52d555-efde-4377-9311-28501c36933d,920037798,1001,Sim,,,,2022-02-15
R_1WZXH1O9LfiRdqp,2021-11-24T17:01:29.986Z,24,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,mobile,c95d521c-4084-423c-8da7-243204b5b4d5,indefinido,indefinido,,,Sim,,2022-02-15
R_33C6u4vy6aMk7o6,2021-11-24T17:01:30.350Z,15,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://to.olx.com.br/,mobile,2001d1fb-9d3e-4be5-87b1-1c3ab3326a49,945707062,2020,,Sim,,,2022-02-15
R_2PgMbNAlwgAQDom,2021-11-24T17:01:30.437Z,8,"É ruim, tenho dificuldade",2,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,cd443ae3-8042-4fed-aa84-4e2362767e33,indefinido,indefinido,,,Sim,,2022-02-15
R_Rn7ZVMdlYHlKp0d,2021-11-24T17:01:31.952Z,10,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,3c472b57-986f-4df3-9b33-240a6fdbe040,indefinido,indefinido,,,Sim,,2022-02-15
R_2fczBvjj79ysMkT,2021-11-24T17:01:34.132Z,8,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://ce.olx.com.br/,desktop,08b85b93-4ab6-4802-9ee1-7b1cd86a7381,,,Sim,,,,2022-02-15
R_3rRauf4aCXeEgXD,2021-11-24T17:01:35.760Z,10,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,f256fe94-f95d-4a4b-8cf3-7cd8b0f2d01a,indefinido,indefinido,,,Sim,,2022-02-15
R_3hzPdgZcBfCjWhG,2021-11-24T17:01:38.158Z,9,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,desktop,f06b7398-97a5-4f87-945b-f4f88ca66787,959725275,3040,,Sim,,,2022-02-15
R_1GVUM5kyFxb4X7z,2021-11-24T17:01:39.499Z,30,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,mobile,86a00cac-14e4-4a65-8939-3334f47dd113,indefinido,indefinido,,,Sim,,2022-02-15
R_12eTz6FZdqkX6b9,2021-11-24T17:01:42.592Z,6,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,224c0443-dbcc-4626-82c5-c333d40a1319,indefinido,indefinido,,,Sim,,2022-02-15
R_2ZUEjozZKJKokwH,2021-11-24T17:01:45.388Z,30,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,,indefinido,indefinido,,,Sim,,2022-02-15
R_3BLLGLny3TmBTqN,2021-11-24T17:01:47.083Z,40,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/chats,desktop,59f389fe-79be-4f85-bb9f-1bcb893de229,indefinido,indefinido,,,Sim,,2022-02-15
R_339HlCqB6Q3zfQd,2021-11-24T17:01:48.635Z,12,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://se.olx.com.br/,desktop,3a65700f-fdd9-4895-91ac-bfe1b8a6ddb3,959902016,1020,,Sim,,,2022-02-15
R_1LSxu94i6ADcTP2,2021-11-24T17:01:49.583Z,11,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://df.olx.com.br/,desktop,cd486981-cf2f-473d-aa49-55437e387511,960046162,1001,Sim,,,,2022-02-15
R_3j8za9b4wCteoGb,2021-11-24T17:01:51.339Z,8,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,desktop,cdd0d92d-a6b8-4e1a-ba4c-870f74bc130d,957967728,1002,Sim,,,,2022-02-15
R_x3I4kuDImZOOQ93,2021-11-24T17:02:02.426Z,11,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://es.olx.com.br/,desktop,20a95345-abdb-4bed-b3db-dc2972370395,955046620,5020,,Sim,,,2022-02-15
R_21mv8ZXsjXC2BiY,2021-11-24T17:02:03.174Z,13,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,mobile,6a8d16af-bbf0-4c3c-a9f0-9f98ae2a33ce,949897530,5020,Sim,,,,2022-02-15
R_3oT6Ci6pMZnwVR4,2021-11-24T17:02:03.563Z,11,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rs.olx.com.br/,desktop,2c3330f1-e309-4fc3-94db-17b9e8664a25,960700436,2020,,Sim,,,2022-02-15
R_3kMqernbQcZ7k8c,2021-11-24T17:02:06.938Z,14,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://mg.olx.com.br/,mobile,64fbaa7a-3889-484a-94e8-667bb852b9b4,952716564,10080,,Sim,,,2022-02-15
R_zZ4zWDRDtI9cJyh,2021-11-24T17:02:10.637Z,19,"É ruim, tenho dificuldade",2,,Web,OLX_Buyer_Negotiation,https://ba.olx.com.br/,mobile,904460d3-ab4c-47c2-afbf-120622179734,952996320,2060,Sim,,,,2022-02-15
R_OlrzENHrH32zhOF,2021-11-24T17:02:14.304Z,18,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://ro.olx.com.br/,mobile,613ecf50-7b66-465c-bcbb-507f5e9b6c94,954811176,2020,,Sim,,,2022-02-15
R_3qySYxz6EXx0sm5,2021-11-24T17:02:17.676Z,29,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,926efb9d-3f60-4d59-ac87-6ce2af16aeab,960873666,2020,Sim,,,,2022-02-15
R_2DYbzAyVZZmlAMm,2021-11-24T17:02:17.703Z,49,"É boa, consigo negociar",3,Muito bom a Olx para vendas ,Web,OLX_Buyer_Negotiation,https://pa.olx.com.br/,mobile,95f26229-174c-469b-91d3-0c594757d854,960670036,1001,Sim,,,,2022-02-15
R_2xK0fzpxXD2xOti,2021-11-24T17:02:21.951Z,21,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://ce.olx.com.br/,mobile,58f72632-4b61-4c89-b9bc-97dab2ec0da4,,,Sim,,,,2022-02-15
R_22VPON69WYBOPll,2021-11-25T19:01:18.835Z,10,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,mobile,c32de8ab-dc14-416f-be29-5ca6c1150fa5,961390267,2020,,Sim,,,2022-02-15
R_3lSu8RQj5NeHzbr,2021-11-25T19:01:21.103Z,15,"É ruim, tenho dificuldade",2,,Web,OLX_Buyer_Negotiation,https://pa.olx.com.br/,desktop,3cca1d78-5eef-4271-8ea8-b895738e5c24,indefinido,,Sim,,,,2022-02-15
R_UQhqN4Dn26599gB,2021-11-25T19:01:24.131Z,8,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,042c972d-df3a-450e-8d4d-4ad1ba665112,indefinido,indefinido,,,Sim,,2022-02-15
R_qVFJT5ydNRSIsg1,2021-11-25T19:01:26.910Z,8,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://pa.olx.com.br/,desktop,dd48bcd6-2818-4dc6-a874-b8e73a625ca9,indefinido,,Sim,,,,2022-02-15
R_3rMRHsDOHYCvCvy,2021-11-25T19:01:28.204Z,8,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,,indefinido,indefinido,,,Sim,,2022-02-15
R_2QmNbxUnuQuueHt,2021-11-25T19:01:28.376Z,15,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pa.olx.com.br/,desktop,ef4a42c2-6756-4b2b-a89d-1858fa55770e,indefinido,,Sim,,,,2022-02-15
R_1JXGx4QG2Ctodyg,2021-11-25T19:01:31.490Z,12,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,,indefinido,indefinido,,,Sim,,2022-02-15
R_qLwfUvMCAjf1bbj,2021-11-25T19:01:36.842Z,21,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,desktop,15b701ba-80df-43e3-a5f6-40f94e6b024e,indefinido,2020,Sim,,,,2022-02-15
R_3qCZAXGJYBY3bMJ,2021-11-25T19:01:37.241Z,10,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,desktop,5a9949db-bb1d-4ad8-9c3f-27e54a32b54b,960183929,3040,,Sim,,,2022-02-15
R_2cwuo0t9pXuLtX4,2021-11-25T19:01:49.826Z,11,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pr.olx.com.br/,desktop,b02bcb84-ad15-4092-a1d8-9449203191fa,960627664,2020,,Sim,,,2022-02-15
R_10GBd170iss8HqX,2021-11-25T19:01:51.048Z,29,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,mobile,8e099fb5-f045-4daa-8c5d-bc9b4a495bc9,960015454,5040,,Sim,,,2022-02-15
R_1nVgXKbYWYg9fVH,2021-11-25T19:01:56.339Z,17,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,138864d0-df51-4946-ab44-a0558204a6aa,948817886,2060,,Sim,,,2022-02-15
R_1Nrn7FWfJi30oCJ,2021-11-25T19:02:03.980Z,40,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://es.olx.com.br/,desktop,e5e261bb-9ae6-4924-90fa-198dc006f715,indefinido,,Sim,,,,2022-02-15
R_3j2tpTxauiIpAfM,2021-12-06T18:01:56.947Z,15,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pr.olx.com.br/,desktop,1754ae3e-26ce-43b8-9855-9516d3d671fb,964630311,1040,,Sim,,,2022-02-15
R_3Mo0q8Ozb7lNT7C,2021-12-06T22:28:42.761Z,25,"É ruim, tenho dificuldade",2,,Web,OLX_Buyer_Negotiation,https://conta.olx.com.br/,desktop,95fcaae3-3079-45d2-9a9e-0bca7e2ef84c,indefinido,indefinido,,,Sim,,2022-02-15
R_DHHMxs7eVF4WTVT,2021-12-07T15:01:26.253Z,19,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,mobile,eb02a1ab-ffed-4b50-9e9f-3f83d6e11e23,966080193,10040,,Sim,,,2022-02-15
R_3fJe4JtXFHiZ3q5,2021-12-07T15:02:54.610Z,52,"É boa, consigo negociar",3,Sempre consigo negociar pelo olx,Web,OLX_Buyer_Negotiation,https://al.olx.com.br/,mobile,261ecaab-099d-4b36-b138-85fc8f15b2c4,indefinido,1040,Sim,,,,2022-02-15
R_3PzuRBVgWXnikMK,2021-12-07T15:09:10.909Z,32,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,mobile,b6814238-852b-4fd4-8b92-8fb0531fc0a2,indefinido,1040,Sim,,,,2022-02-15
R_1et2ujziawngoTt,2021-12-07T15:09:42.696Z,23,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pe.olx.com.br/,desktop,693896f9-eb85-426e-a360-25db05e7389a,965986976,2103,,Sim,,,2022-02-15
R_ac00TzPpcJ4DC3T,2021-12-07T15:16:36.198Z,32,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,desktop,f1159bf9-d2bd-4b96-920a-e8f31c0f9058,945237641,2020,,Sim,,,2022-02-15
R_aVMJ8PLSR0eTdbH,2021-12-07T15:21:14.909Z,15,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://ac.olx.com.br/,mobile,ad56a3c1-4f7a-4d23-bc93-64dfb9c1d0cf,indefinido,3080,Sim,,,,2022-02-15
R_sbRsgWCPLeW2iJP,2021-12-07T15:24:23.349Z,20,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pe.olx.com.br/grande-recife/imoveis/casa-em-itamaraca-preco-ajustavel-959169603,desktop,11264909-eb62-4931-a7ab-66878b12e27b,959169603,1040,,Sim,,,2022-02-15
R_BFAtMfm6pV6OsgN,2021-12-07T15:26:43.086Z,35,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pe.olx.com.br/,desktop,a3d55243-b6b6-4d2b-a50b-9f066c82ae57,indefinido,1020,Sim,,,,2022-02-15
R_1CBYbaoWuWDGH4X,2021-12-07T15:47:33.470Z,55,"É ruim, tenho dificuldade",2,Nesse momento..não em muitos casos sempre aparece alguns pessoa tentando dar golpe..ter que ter sabedoria pra negociar pelo Olx.,Web,OLX_Buyer_Negotiation,https://sp.olx.com.br/,mobile,36645809-b2ba-4f72-b0bf-9f4e7be409db,955816673,2020,,Sim,,,2022-02-15
R_1CqLJuWCPoFNusu,2021-12-07T15:48:34.572Z,20,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-spirit-1-0-completo-carta-de-credito-936803551,desktop,bf4c809e-859b-4426-aade-4c3a2039fd55,indefinido,2020,Sim,,,,2022-02-15
R_3f4QFQQfKu7L3hf,2021-12-07T15:48:44.495Z,16,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://rn.olx.com.br/,desktop,e4ad0947-f29d-41c3-b620-0fdfaf21f069,indefinido,1020,Sim,,,,2022-02-15
R_1F3ArXeIc7gbdKU,2021-12-07T15:56:25.029Z,34,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://es.olx.com.br/,desktop,a3118fc9-ce74-48d4-b077-fef224925974,indefinido,5040,Sim,,,,2022-02-15
R_1OxAh2xxDJJMMca,2021-12-07T15:57:33.523Z,13,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,desktop,c40f9f90-ab81-4c89-8777-c29c4e83184f,960585738,1020,,Sim,,,2022-02-15
R_essFWtOujhIcfpD,2021-12-07T16:01:23.182Z,142,"É ruim, tenho dificuldade",2,"Boa tarde, o problema maior são em relação aos anunciantes, colocam endereços que normalmente não são do que está sendo anunciado, anúncios sem contato e que o anunciante não responde ao chat, falta de atualização dos anúncios já feitos negócios, anúncios sem data e etc.",Web,OLX_Buyer_Negotiation,https://es.olx.com.br/,desktop,9d8dce85-9c69-4364-bb83-989ced720999,indefinido,1080,Sim,,,,2022-02-15
R_33Dt6ZKDDDvp2Tr,2021-12-07T16:09:47.329Z,13,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://ce.olx.com.br/,desktop,6c022366-785c-4dac-a9f0-77d6cc41f30e,indefinido,7020,Sim,,,,2022-02-15
R_10MMwhNj5Akh2b1,2021-12-07T16:18:57.415Z,26,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://pr.olx.com.br/,mobile,d79805df-d1ab-44f3-b8b1-7cdaa35a64e2,965391906,2060,,Sim,,,2022-02-15
R_2f6wMSPOP5lfX3K,2021-12-07T16:25:28.374Z,9,É muito bom negociar na OLX,4,,Web,OLX_Buyer_Negotiation,https://ba.olx.com.br/,mobile,68d5b666-fb12-4e00-aeaa-aac74cd57599,indefinido,undefined,Sim,,,,2022-02-15
R_b73VmZJi4p9Dgkx,2021-12-07T16:26:13.707Z,15,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://rj.olx.com.br/,desktop,06fee99d-6c36-46be-ba65-f70e25e6a1f8,959386623,1040,,Sim,,,2022-02-15
R_bmHjZBDvUTWGBkl,2021-12-07T16:40:22.818Z,19,"É boa, consigo negociar",3,,Web,OLX_Buyer_Negotiation,https://go.olx.com.br/,mobile,357ea380-6d98-48f1-939b-563f63eb26e6,965429541,3040,,Sim,,,2022-02-15
