responseid,recordeddate,duration,q1_opcao,q1_nota,q2,plataforma,pesquisa,referer,di_device_type,pubaccid,list_id,category_id,intercept_user_inserted_ad,intercept_left_page,dt
R_2VawOJsi6h5G4Yu,2021-12-06T17:32:35.191Z,14,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,ea820523-df9e-4c5e-ab4d-85f734f897be,indefinido,indefinido,,Sim,2022-02-08
R_3phUxD0ndc7qUhf,2021-12-06T17:49:30.661Z,13,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,58e5c4c5-79ed-4efc-b6a7-042bc40eb670,indefinido,indefinido,,Sim,2022-02-08
R_3gTrh8U82Y5znOZ,2021-12-06T18:14:27.917Z,7,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,aa670fe7-d35c-4440-8f40-fe452b8f61a1,indefinido,indefinido,,Sim,2022-02-08
R_24zMPvOY6Pg3CLZ,2021-12-06T18:16:23.067Z,11,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,04e8ba31-fb7b-4422-86d2-6af8afecbc2e,indefinido,indefinido,,Sim,2022-02-08
R_bdXPaDbYk5DGwXD,2021-12-06T18:17:10.211Z,36,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,dd0a0e94-0971-4895-a62a-78c0f9264181,indefinido,indefinido,,Sim,2022-02-08
R_1QGbCZLjxGz70fB,2021-12-06T18:18:21.997Z,7,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,2f4b8624-a178-4d05-9b66-bc160987c231,indefinido,indefinido,,Sim,2022-02-08
R_2anm6bR5VMC22KJ,2021-12-06T18:19:49.558Z,10,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,28ac2056-a56a-49c4-90f5-d92b3b61d19a,indefinido,indefinido,,Sim,2022-02-08
R_3n7OAhqSDJvA0qZ,2021-12-06T18:20:27.262Z,21,"É ruim, tenho dificuldade",2,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,a5173b43-1ecf-430a-80b1-81d986ff45f7,indefinido,indefinido,,Sim,2022-02-08
R_1HqwAoWHf68sXWn,2021-12-06T18:20:34.418Z,372,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,b42c4eb9-20a1-4db2-93e5-ee0a95bb93cf,indefinido,indefinido,,Sim,2022-02-08
R_e3stYXDCs4rsAvf,2021-12-06T18:22:06.852Z,14,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,27e36573-506a-4df0-887e-2241ab3ba755,indefinido,indefinido,,Sim,2022-02-08
R_rjMYgACAdjaFpbH,2021-12-06T18:22:19.109Z,45,É muito bom publicar na OLX,4,"Algo que poderia melhorar.
Poder por mais cps para divulgaçao no mesmo anuncio",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,4cc88cb8-881c-4908-ba44-8f619f0bae9c,indefinido,indefinido,,Sim,2022-02-08
R_3HAMgH4rR6K1kf2,2021-12-07T15:01:22.811Z,18,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,d1690f16-0a71-48f5-9f33-ed18cab135cc,indefinido,indefinido,,Sim,2022-02-08
R_2ErQ0J99eZV84Ey,2021-12-07T15:09:32.309Z,30,É muito bom publicar na OLX,4,"Prático, seguro e eficaz!",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,10fef566-8dee-491c-85b7-29e0f22d0949,indefinido,indefinido,,Sim,2022-02-08
R_2zGyfrlkT4aUvfa,2021-12-07T15:09:32.812Z,43,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,1305be9e-1c60-4858-8f26-47fc7141c36f,indefinido,indefinido,,Sim,2022-02-08
R_9RiktePC9oLetWN,2021-12-07T15:14:34.341Z,10,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,6dc009ba-1e0e-41a5-916c-af02184b9e4f,indefinido,indefinido,,Sim,2022-02-08
R_2PbU4TVjqsyjPhb,2021-12-07T15:18:23.906Z,57,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,37894df8-6999-4e07-a680-13824584b290,indefinido,indefinido,,Sim,2022-02-08
R_1NyyKFdspe5Z5Qn,2021-12-07T15:18:32.631Z,67,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,37894df8-6999-4e07-a680-13824584b290,indefinido,indefinido,,Sim,2022-02-08
R_3MosnlNS5fAlAtB,2021-12-07T15:18:48.969Z,20,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,91c6b545-04c5-4694-b1c1-4d92754be7c7,indefinido,indefinido,,Sim,2022-02-08
R_1rjOVKyX06jej3k,2021-12-07T15:18:49.513Z,9,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,be0e0515-d854-4eab-abd1-e00795534d05,indefinido,indefinido,,Sim,2022-02-08
R_OKkhkZh0FqGfVyF,2021-12-07T15:20:23.910Z,13,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,c95e0094-d34e-482a-9c4c-ec40ff142bbc,indefinido,indefinido,,Sim,2022-02-08
R_2f2JoZFgzhrxrCK,2021-12-07T15:20:25.526Z,6,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,e954dfed-3ac6-4c98-a0d3-58f8534925cd,indefinido,indefinido,,Sim,2022-02-08
R_2fGIGlZPh15whO8,2021-12-07T15:23:06.618Z,403,"É ruim, tenho dificuldade",2,"Boa tarde tudo bem? Tem mes que tenho um pouco mais de mil anuncios, Porem quando tenho aque alterar apenas os preços, porque mudam os valores em pouco tempo, se o valor de um produto aumenta eu altero o valor e nao tenho sucesso 
No meu ponto de vista se eu vou alterar os preços do anuncio, era pra ser alterado imediatamente 
Ja passei alguns perrengues devido os clientes querer fazer o preço mais barato e muitas das vezes nao é possivel fazer o valor antigo 
Gosto de trabalhar com o OLX porem esse  detalhe esta pesando muito e tenho que ver o melhor pra mim e minha equipe .",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,06d68175-a6c8-435d-b7ba-a556a9e26aa1,indefinido,indefinido,,Sim,2022-02-08
R_3EbE2mlz017ypCF,2021-12-07T15:24:01.100Z,10,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,f9365149-6bc2-40e9-8e56-e979cad271ab,indefinido,indefinido,,Sim,2022-02-08
R_2zj3VwxAqYIKbil,2021-12-07T15:24:35.177Z,18,É muito bom publicar na OLX,4,pratico e efetivo ,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,6c5f7f29-89bf-47c0-b67a-d4db664ef351,indefinido,indefinido,,Sim,2022-02-08
R_1rdmeEBaf8dL9Zs,2021-12-07T15:26:53.745Z,16,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,ab0c58af-192f-4a92-965c-07ce8a2e5099,indefinido,indefinido,,Sim,2022-02-08
R_1HpiWFeol9Gl7hn,2021-12-08T17:01:18.977Z,9,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,e2a0c1e1-c302-4fd0-8953-69074ff7728c,indefinido,indefinido,,Sim,2022-02-08
R_3M3vE1p4rBoDd7i,2021-12-08T17:01:49.059Z,46,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,8eb46d3b-cfc2-4e3c-a058-4aa4d7c307da,indefinido,indefinido,,Sim,2022-02-08
R_Z34OyQqV0hkqKRj,2021-12-08T17:02:44.481Z,16,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,7060f555-8675-4354-8651-a81b64381887,indefinido,indefinido,,Sim,2022-02-08
R_3pFSpHpFyv7VKox,2021-12-08T17:03:32.968Z,91,"É péssimo, nunca consigo publicar meus anúncios",1,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,af43dcff-b57b-4f49-b62f-f3cb052f6652,indefinido,indefinido,,Sim,2022-02-08
R_sIl8peTYlyDzIPf,2021-12-08T17:04:33.838Z,16,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,d403c817-2528-47ef-8111-64f4799d6778,indefinido,indefinido,,Sim,2022-02-08
R_2U0pB2cckpD8xVM,2021-12-08T17:04:46.780Z,23,"É ruim, tenho dificuldade",2,problemas de bugs na plataforma,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,9896402e-ecbe-4a7b-8c90-26d6e95f3225,indefinido,indefinido,,Sim,2022-02-08
R_1n7UXEYGFSOTbdC,2021-12-08T17:04:48.185Z,19,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,5b58c5b5-8240-4107-bbb7-a321f4505262,indefinido,indefinido,,Sim,2022-02-08
R_djqNXicdhSwbaDL,2021-12-08T17:05:39.095Z,10,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,a898b1b1-ab90-4506-a7c9-e495586f70a1,indefinido,indefinido,,Sim,2022-02-08
R_1GIa4qR5Xa9XzeQ,2021-12-08T17:06:07.947Z,14,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,f328d1d7-26aa-4165-87f0-a0c3efb6bde5,indefinido,indefinido,,Sim,2022-02-08
R_3Lj0v6gPkEH8Bb1,2021-12-08T17:07:00.075Z,11,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,7c83feac-47dd-4244-8147-439f3213a891,indefinido,indefinido,,Sim,2022-02-08
R_6yc86pVKfXI6BRn,2021-12-08T17:07:47.402Z,12,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,def82af3-abb8-4c74-84aa-8b19ebd3a1c9,indefinido,indefinido,,Sim,2022-02-08
R_2xENWCikIpN6nDB,2021-12-08T17:07:57.435Z,63,"É bom, consigo publicar meus anúncios",3,Publiquei. Tudo ocorreu bem. Mas ainda não vendi.,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,85c847d0-6264-4489-97f4-a5f034ef9571,indefinido,indefinido,,Sim,2022-02-08
R_56l0UQhFkYx5v4l,2021-12-08T17:08:35.143Z,108,"É ruim, tenho dificuldade",2,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,e43d1e4e-3d90-4aba-af16-5480fab5d32e,indefinido,indefinido,,Sim,2022-02-08
R_3M9ksTT2t41jWN7,2021-12-08T17:08:40.849Z,12,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,12a7d016-e287-4aec-abbf-4f7d71c2004f,indefinido,indefinido,,Sim,2022-02-08
R_7Vfsu4n9z2z8F3z,2021-12-09T19:01:16.998Z,11,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,53c38a6a-d690-4094-b6c0-fe7ed72687d4,indefinido,indefinido,,Sim,2022-02-08
R_3oC6hGjMj3c0fFD,2021-12-09T19:01:25.785Z,9,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,99612b1e-c6ed-4234-bf08-9872e4835ce1,indefinido,indefinido,,Sim,2022-02-08
R_1jBTuhcl5TU3K5P,2021-12-09T19:01:36.500Z,22,É muito bom publicar na OLX,4,exelente plataforma ,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,f46e72cc-f545-4bdd-aef4-1634868a7401,indefinido,indefinido,,Sim,2022-02-08
R_NVI9njDKMyxG0AV,2021-12-09T19:01:36.524Z,16,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,a11ddc6b-5cd5-429c-8b5e-da7e968fb827,indefinido,indefinido,,Sim,2022-02-08
R_1ff9tPFUmDaa781,2021-12-09T19:02:11.180Z,25,É muito bom publicar na OLX,4,NO MOMENTO NÃO,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,a8ba90c7-92f4-4929-98fc-2f28f1266512,indefinido,indefinido,,Sim,2022-02-08
R_s6C2yqnHrvDtmWB,2021-12-09T19:02:42.387Z,11,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,d912384e-aa36-4c1c-bcbb-98799b9ba97d,indefinido,indefinido,,Sim,2022-02-08
R_21HTMzR36TYMjvy,2021-12-09T19:02:44.016Z,36,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,90e226a3-d2e6-4ca8-b6b6-06ab3e70d629,indefinido,indefinido,,Sim,2022-02-08
R_1l4UYVgYcr3j8Vy,2021-12-09T19:03:33.401Z,59,É muito bom publicar na OLX,4,"Eu gosto da OLX... Só acho que deveria ser bem transparente os dados e a pessoa não poder ter vários perfis , com risco de ser falso. tudo deveria estar vinculado a um cpf e ter conferencia",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,10fc4903-35ea-45a6-a71c-c8b7541972c6,indefinido,indefinido,,Sim,2022-02-08
R_2VCvVaArBnaXKpj,2021-12-09T19:03:36.782Z,6,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,9110d8ed-0cd3-4aa3-9cca-38748e191405,indefinido,indefinido,,Sim,2022-02-08
R_3FIZKLyndATH1gA,2021-12-09T19:05:00.385Z,19,"É bom, consigo publicar meus anúncios",3,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,c04cce9a-2da4-4e90-a1f9-92faf9253101,indefinido,indefinido,,Sim,2022-02-08
R_QfyOJPWuRwniLHH,2021-12-09T19:06:07.816Z,51,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,09eaf653-d505-40f7-9ff7-e36915c2e941,indefinido,indefinido,,Sim,2022-02-08
R_4YGqqf9dfknDltv,2021-12-09T19:06:46.791Z,84,"É péssimo, nunca consigo publicar meus anúncios",1,"gostaria de mais facilidade para meus anúncios ficarem ativos.
",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,e38aa1e3-ee21-4b64-9bbd-6135051c50a8,indefinido,indefinido,,Sim,2022-02-08
R_1l5FTNDIpq1PRHu,2021-12-09T19:07:24.567Z,19,"É ruim, tenho dificuldade",2,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,1b6b01d8-6cda-471e-baa4-c51681cf6ad5,indefinido,indefinido,,Sim,2022-02-08
R_WeU0vsnwtKIqLu1,2021-12-09T19:08:41.094Z,13,"É péssimo, nunca consigo publicar meus anúncios",1,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,5c0c4b52-f0d1-4b29-87ab-760d30af4993,indefinido,indefinido,,Sim,2022-02-08
R_2Bh2WDaJxbUWMrn,2021-12-10T21:14:06.420Z,18,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,e833b50d-cbfc-4b2b-b219-837a221eb81e,indefinido,indefinido,,Sim,2022-02-08
R_22Yzy1py6dVrx16,2021-12-10T21:41:50.899Z,26,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,0546d201-96fe-46fd-b98b-d8b649f58ead,indefinido,indefinido,,Sim,2022-02-08
R_ypSgOeRorJN9Wrn,2021-12-10T23:07:04.323Z,13,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,ecc2b0c4-74f5-4351-9a8b-50efceb670a2,indefinido,indefinido,,Sim,2022-02-08
R_1K9kQTzCTjVCPYQ,2021-12-11T01:56:08.212Z,10,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,7ad7b279-bf34-40b7-882d-31874bddcff7,indefinido,indefinido,,Sim,2022-02-08
R_1KfnqcvNP0EVMoq,2021-12-11T23:39:26.894Z,159,É muito bom publicar na OLX,4,"Gosto de publicar, é fácil e muito rápido. A única coisa ruim, é ter anúncios de outros sites no meu anúncio ou na minha busca de produtos iguais aos que eu anuncio. ",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,dcf73be6-9e4d-4a37-9ca0-b60fb00f459c,indefinido,indefinido,,Sim,2022-02-08
R_1o1EPo4OWdNx7CV,2021-12-11T23:42:38.817Z,18,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,6866d64b-29f0-40a7-8e14-bc919c2b4e73,indefinido,indefinido,,Sim,2022-02-08
R_3ilmLcoT2wzX8dB,2021-12-11T23:51:51.728Z,27,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,f3619a5c-bf2a-404d-bb46-ba1dabdde0b9,indefinido,indefinido,,Sim,2022-02-08
R_1PXmq9fH212iPIx,2021-12-13T01:59:28.018Z,39,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/ai/form/0/1189276049,desktop,873c73f7-e27a-407c-9c40-aca1ff291dee,indefinido,indefinido,,Sim,2022-02-08
R_2VJR33V7aHuHOn8,2021-12-13T02:26:24.301Z,10,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,b39548e8-a002-4ae7-80eb-bfa5b222f9a5,indefinido,indefinido,,Sim,2022-02-08
R_2OPb0hELAzOvHvs,2021-12-13T13:21:35.352Z,23,"É ruim, tenho dificuldade",2,esta uma merda,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,5bfffaa1-4183-4906-893e-0ca50f72d3fd,indefinido,indefinido,,Sim,2022-02-08
R_2upKSwZnkCQJ0hT,2021-12-13T13:33:17.303Z,15,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,ffd6f87a-f701-4709-b349-ac5c65c968c3,indefinido,indefinido,,Sim,2022-02-08
R_XGLKd4kNiNROPoR,2021-12-13T13:43:43.014Z,68,"É bom, consigo publicar meus anúncios",3,Boa,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,31f62d18-65f5-4662-8d72-c4859755c96a,indefinido,indefinido,,Sim,2022-02-08
R_2OUUnezxNqAoxzw,2021-12-13T14:08:40.102Z,56,"É ruim, tenho dificuldade",2,"Estou tentando publicar e não estou conseguindo, na hora de enviar o anúncio não vai",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,3624f9ba-918b-44a6-b5c6-308cacdc14aa,indefinido,indefinido,,Sim,2022-02-08
R_2YRozboB2pGS3Rh,2021-12-13T14:30:51.144Z,11,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,4e4b4fcd-828d-4f6c-a9a7-4e2191309caf,indefinido,indefinido,,Sim,2022-02-08
R_1gBzVMGxn3ofFOj,2021-12-13T14:45:38.637Z,17,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,mobile,578a62d0-fc1d-4813-8285-d75cb7329488,indefinido,indefinido,,Sim,2022-02-08
R_2pYotdB5QfE3D0n,2021-12-13T14:49:45.761Z,25,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,c060f16f-b6b4-4b62-a893-2d3b94be4fd7,indefinido,indefinido,,Sim,2022-02-08
R_278WCLBLk1ulCum,2021-12-13T14:55:59.564Z,20,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,9b0cc02a-8cf8-47f9-b6de-2686bc275f80,indefinido,indefinido,,Sim,2022-02-08
R_2zNn8WT4YtkHkGN,2021-12-13T14:57:08.053Z,131,É muito bom publicar na OLX,4,"as taxas sao altas c olx Pay.., e achei estranho demorar 2 dias uteis pra cair o dinheiro na conta.

tbem acho q poderiam possibilitar a transferência do dinheiro a terceiros. nao consegui fazer isso pelo olx pay.

no mais ok. 
obrigada.",Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,03d5db6f-ccd4-4b7c-8483-d2524a91bd67,indefinido,indefinido,,Sim,2022-02-08
R_2CfU5Lyc2qc5wQC,2021-12-13T14:59:05.865Z,225,É muito bom publicar na OLX,4,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,aab8d159-d81f-4762-8d6b-9be877972dce,indefinido,indefinido,,Sim,2022-02-08
R_33eWFG8HJDZfaJz,2021-12-13T15:14:02.749Z,18,"É ruim, tenho dificuldade",2,,Web,OLX_Seller_AdInsertion,https://www2.olx.com.br/,desktop,2071f254-91e8-40bd-8714-87361be30f2e,indefinido,indefinido,,Sim,2022-02-08
