responseid,recordeddate,duration,q1_opcao,q1_nota,q2,plataforma,pesquisa,referer,di_device_type,pubaccid,list_id,category_id,intercept_user_logged_into_olxpro,dt
R_2QQzOozHBR8efZX,2022-02-01T19:02:58.494Z,19,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,,indefinido,indefinido,Sim,2022-02-11
R_3suLGqMFzejw4XV,2022-02-01T19:27:18.251Z,24,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,,indefinido,indefinido,Sim,2022-02-11
R_OfKLi9iROrEN6nL,2022-02-01T21:19:08.479Z,26,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,389c7005-220b-43f7-8132-350da6121566,indefinido,indefinido,Sim,2022-02-11
R_2YzlaiOpU68fUz0,2022-02-01T22:25:30.248Z,16,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,mobile,a48e9c14-a34f-4642-8160-d0eff1d81a3b,indefinido,indefinido,Sim,2022-02-11
R_1KpCkiY0Rc8mE0Z,2022-02-01T23:44:04.443Z,63,"É ruim, tenho dificuldade",2,Sistema Instavel. Edição demora. Constantemente fora do ar. Aumento do valor do plano foi absurdo!,Web,OLX_SellerPro_Gestao,,mobile,ee14426e-13c1-45a9-aaf1-c9b4597c877b,indefinido,indefinido,Sim,2022-02-11
R_3pnXeS84c56QVEI,2022-02-02T17:57:19.947Z,17,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,82a84ae3-46c5-45a4-b59b-873868e0077f,indefinido,indefinido,Sim,2022-02-11
R_1jUlJHOj1L1emFa,2022-02-02T18:15:20.658Z,17,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,3047f99b-ceb6-4f25-87f3-e41184fd7985,indefinido,indefinido,Sim,2022-02-11
R_0enCuac7o2vmyGZ,2022-02-02T18:33:15.250Z,14,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,54b0beb0-0be8-4717-8a76-e4bbafc8119e,indefinido,indefinido,Sim,2022-02-11
R_OjOrl4XusSYsdO1,2022-02-02T19:11:29.351Z,16,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,a4faf2c1-daa9-421f-8ed4-162f4369b081,indefinido,indefinido,Sim,2022-02-11
R_uqNI4T2nNQNoTgB,2022-02-02T19:47:36.659Z,11,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,c9ccf0ed-f151-4b02-a0f7-e2d81131d4a2,indefinido,indefinido,Sim,2022-02-11
R_3MmTVo6ePa2dmMA,2022-02-02T20:29:20.441Z,27,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,96086bf1-6a35-466a-b40c-32f1257b55cf,indefinido,indefinido,Sim,2022-02-11
R_24184Cc2al1aQJD,2022-02-02T22:45:59.999Z,26,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,f5bdb0ee-213b-4d83-bc92-3610454acd01,indefinido,indefinido,Sim,2022-02-11
R_XGNzDx0YolzKbK1,2022-02-03T02:37:33.999Z,45,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,a0042993-1671-470f-b78c-3e7699034e97,indefinido,indefinido,Sim,2022-02-11
R_3fOeihCdSM5enuT,2022-02-03T19:22:13.167Z,31,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,e17f08b8-8b8c-4f3b-8e38-32305fab57c0,indefinido,indefinido,Sim,2022-02-11
R_3fHu2VmMgpCwDaB,2022-02-03T19:42:12.018Z,674,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,8d042cb9-72be-4d71-952a-3838c70ce9a1,indefinido,indefinido,Sim,2022-02-11
R_7R0806OE6cX2zSN,2022-02-03T20:02:37.694Z,18,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,6cbccb57-0d8e-4e2d-9c2c-c4d98e26dc4a,indefinido,indefinido,Sim,2022-02-11
R_1PcaBARxgSpKZdV,2022-02-03T20:08:03.012Z,228,É muito bom gerenciar meus anúncios na OLX,4,"Estão me chantageadno a ficar com os 3 sites obrigatoriamente, zap e viva, 
Só gosto da OLX, mas querem me obrigar a ficar com os 3 a aumentar o valor absurdamente, por gentileza me ajude, sou cliente antiga e pago rigorosamente meus anuncios!",Web,OLX_SellerPro_Gestao,,desktop,7e9f5e76-eb7f-480e-9525-559555c7c22f,indefinido,indefinido,Sim,2022-02-11
R_p9iiSjKDNwzYqsN,2022-02-03T20:09:50.981Z,860,É muito bom gerenciar meus anúncios na OLX,4,"SO DE  A OLX NÃO SER O mercado livre QUE OLHA PRO PROPRIO UMBIGO JA É O CÉU...OLX É MELHOR ....não tenho reclamação na olx,, obrigado
",Web,OLX_SellerPro_Gestao,,desktop,61924266-12dc-4085-a778-934ffc6c73dc,indefinido,indefinido,Sim,2022-02-11
R_ToRI6n3OmztQV57,2022-02-03T20:53:26.046Z,33,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,3372dd85-dbd0-4f12-b70d-b23a761fece9,indefinido,indefinido,Sim,2022-02-11
R_1ghjfW6FUEGyddj,2022-02-04T02:26:05.153Z,30,"É boa, consigo gerenciar meus anúncios",3,Melhora a questão dos preços profissionais ,Web,OLX_SellerPro_Gestao,,mobile,fe395aae-200f-4784-95ac-e3a32fa49488,indefinido,indefinido,Sim,2022-02-11
R_1MWJnfobFVBzHpk,2022-02-04T02:26:32.378Z,18,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,730ffd1f-e2d1-4053-8685-f6c98aff91ba,indefinido,indefinido,Sim,2022-02-11
R_2wHbXSEnqsiHRDo,2022-02-04T02:31:44.816Z,68,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,73899f9c-856f-4c63-9c3f-fcaa5760d441,indefinido,indefinido,Sim,2022-02-11
R_sFK7A7pAKrVKKad,2022-02-04T02:39:32.088Z,18,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,mobile,3ce0a794-013c-4fd5-82c5-ad781e93a3a4,indefinido,indefinido,Sim,2022-02-11
R_2uCB5qtRaRCW1Pe,2022-02-05T00:01:35.584Z,38,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,d2527644-8ae6-443b-9264-2aa673447d19,indefinido,indefinido,Sim,2022-02-11
R_3EYAogP3KYat9KL,2022-02-05T01:21:36.773Z,87,É muito bom gerenciar meus anúncios na OLX,4,"Primeiro dia hoje vamos vê como será pretendo vê o resultado
",Web,OLX_SellerPro_Gestao,,mobile,849c57a6-c131-4af6-a620-87c939d49731,indefinido,indefinido,Sim,2022-02-11
R_277OVc7GhxaIBmB,2022-02-05T02:52:41.957Z,175,"É péssima, nunca consigo gerenciar meus anúncios",1,Para apagar os anúncios beira o ridículo. Não tem uma caixa de seleção para apagar então gasto em média 10 min a mais com clicks inúteis como se isso fosse resultar em a pessoa comprar um destaque. Já tem em cada anúncio uma propaganda de destaque... Precisa por quando vamos apagar? E se sim... Coloca a zorra de uma caixinha de seleção assim só vemos a pergunta do destaque 1 vez. Em vez de 10-30 vezes ,Web,OLX_SellerPro_Gestao,,mobile,50f59d0d-175b-4477-943b-bc0bb509b1ee,indefinido,indefinido,Sim,2022-02-11
R_1IQv0Dhqmc355h1,2022-02-07T02:30:28.868Z,38,"É boa, consigo gerenciar meus anúncios",3,Custo muito alto ,Web,OLX_SellerPro_Gestao,,mobile,3006a242-c17b-494e-bd97-5b2537546bb2,indefinido,indefinido,Sim,2022-02-11
R_2qyifvlQ6xY9Z0k,2022-02-07T02:32:11.037Z,84,"É boa, consigo gerenciar meus anúncios",3,Tenho dificuldade em excluir anúncios,Web,OLX_SellerPro_Gestao,,mobile,34cb6d6e-0efc-437d-a872-b53fbef856e7,indefinido,indefinido,Sim,2022-02-11
R_80z7Iwi5FgdHjAR,2022-02-07T13:54:17.164Z,41,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,7775162a-d631-45fd-8503-52083821013c,indefinido,indefinido,Sim,2022-02-11
R_3sB0Dm8BMNiUzin,2022-02-07T14:00:51.390Z,33,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,71a03c16-9316-40e1-b5ce-36ad7189f754,indefinido,indefinido,Sim,2022-02-11
R_2zkL8wASwit1ATY,2022-02-07T14:10:37.192Z,92,"É ruim, tenho dificuldade",2,O site caí toda semana e as vezes não consigo acompanhar o que eu preciso.,Web,OLX_SellerPro_Gestao,,desktop,492a35a8-2e51-48bc-a02b-4e6bfd853f37,indefinido,indefinido,Sim,2022-02-11
R_V2tU1v9dAoleJCF,2022-02-07T15:31:01.376Z,35,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,6c69a44a-b33d-4d10-a8de-79916c0ffc7f,indefinido,indefinido,Sim,2022-02-11
R_W6wt2pMaNgT6JGh,2022-02-07T15:31:30.880Z,1214,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,af9b4f32-61eb-4375-b102-3d579f0545fe,indefinido,indefinido,Sim,2022-02-11
R_ugdh6bWMk7KYIzD,2022-02-07T16:00:01.090Z,20,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,a7f9d586-f858-4f8a-bd37-ec602d72cdda,indefinido,indefinido,Sim,2022-02-11
R_1kGrNMTY3mSnt8L,2022-02-07T16:25:39.703Z,16,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,c2ba33fb-4b71-4f14-a7e7-f698b43a8007,indefinido,indefinido,Sim,2022-02-11
R_3lxn7DogiDtcMqf,2022-02-07T16:45:34.264Z,22,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,050f643f-fc75-49ba-81ad-5a86139731b0,indefinido,indefinido,Sim,2022-02-11
R_1g0ejnRxxkZSUF5,2022-02-07T16:54:56.377Z,149,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,9a8b0412-0b07-4cdf-9ed4-ca39a5117d9f,indefinido,indefinido,Sim,2022-02-11
R_3Hn0vyRCshhLjoY,2022-02-07T17:09:18.353Z,856,"É ruim, tenho dificuldade",2,algumas opçoes não estao funcionando.,Web,OLX_SellerPro_Gestao,,desktop,cbf756fd-7ce6-41f0-8a88-1aef92b2ce62,indefinido,indefinido,Sim,2022-02-11
R_eICw7yroFLuxpMR,2022-02-07T17:36:52.180Z,14,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,d679ed5b-0bfd-4b5e-81d3-108aac4d2a7a,indefinido,indefinido,Sim,2022-02-11
R_2hoOrDxPvFsGzq9,2022-02-07T17:46:33.411Z,54,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,0065f968-569b-419a-97f9-cd05a41cbf70,indefinido,indefinido,Sim,2022-02-11
R_YRg1WApiqyUwHgB,2022-02-07T17:56:12.559Z,13,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,a2db378a-9f53-4c93-af53-5b1e9d20121d,indefinido,indefinido,Sim,2022-02-11
R_2aKzJHOms67EMHc,2022-02-07T18:14:02.605Z,56,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,b27ae0ef-8e7a-4f55-ac91-6ce958237bb9,indefinido,indefinido,Sim,2022-02-11
R_1ZBmM4ZDn9Z9NVT,2022-02-07T19:55:12.355Z,61,"É péssima, nunca consigo gerenciar meus anúncios",1,O site cai conforme entrou em outros campos.,Web,OLX_SellerPro_Gestao,,desktop,cf370083-f7c2-4f26-8a1b-15474ed7db85,indefinido,indefinido,Sim,2022-02-11
R_1EhR4xxHSmeZvuq,2022-02-07T20:06:41.884Z,52,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,ff69c4d6-6d5b-4662-9189-e2005d10a815,indefinido,indefinido,Sim,2022-02-11
R_3MlDSItuhqSbvug,2022-02-07T20:34:18.696Z,35,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,e5429b9e-f876-46ca-999e-6b537cc9f0e6,indefinido,indefinido,Sim,2022-02-11
R_29tYFGa6nRSstKZ,2022-02-08T00:35:09.740Z,226,É muito bom gerenciar meus anúncios na OLX,4,"Gostaria de informar, que tem alguns vendedores da OLX me chantegeando, dizendo que serei obrigada a comprar mais dois sites o zap e vivaa real, pois NÃO QUERO ESSES DOIS, GOSTO SOMENTO DA OLX, POR GENTLEZA me ajudem a ficar so com a OLX",Web,OLX_SellerPro_Gestao,,desktop,7e9f5e76-eb7f-480e-9525-559555c7c22f,indefinido,indefinido,Sim,2022-02-11
R_3qdRmAkSyJDakEH,2022-02-08T00:44:03.631Z,68,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,ba106ae4-feca-40a9-808b-105dcaeb5fa5,indefinido,indefinido,Sim,2022-02-11
R_2YJusacZIDKBb6q,2022-02-08T01:26:39.682Z,122,"É péssima, nunca consigo gerenciar meus anúncios",1,,Web,OLX_SellerPro_Gestao,,mobile,5b11ace0-4fa9-4cf8-ab90-7efbbc8eee65,indefinido,indefinido,Sim,2022-02-11
R_2CmoJk4dUv8B0iW,2022-02-08T09:52:10.920Z,12,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,5613a438-cd59-4e77-8869-d53b8f3bb702,indefinido,indefinido,Sim,2022-02-11
R_2DRIPGpbFasbvuf,2022-02-08T10:57:45.944Z,23,"É ruim, tenho dificuldade",2,,Web,OLX_SellerPro_Gestao,,desktop,f1ec205d-2c62-4d14-9093-432bb8b4311c,indefinido,indefinido,Sim,2022-02-11
R_10xwWZ42Sblncex,2022-02-08T11:53:58.644Z,33,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,f9cf354a-007e-49ec-87f2-9958963f6937,indefinido,indefinido,Sim,2022-02-11
R_2cva8w3GrxbUsop,2022-02-08T12:05:52.676Z,23,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,f11ea505-771d-4da8-a405-8a4bd64654bf,indefinido,indefinido,Sim,2022-02-11
R_216ZHwOrwFoJIfD,2022-02-08T12:49:31.356Z,40,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,e71b96d6-9b47-4244-b666-3851fdb534ab,indefinido,indefinido,Sim,2022-02-11
R_3qpyM4da6Bs14SR,2022-02-08T13:13:38.831Z,34,É muito bom gerenciar meus anúncios na OLX,4,gosto da olx . ,Web,OLX_SellerPro_Gestao,,desktop,005d0d1f-d09a-4955-9f36-911d0644a453,indefinido,indefinido,Sim,2022-02-11
R_2QZ0RGFkIAKzn6Y,2022-02-08T13:44:36.515Z,15,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,f5bdb0ee-213b-4d83-bc92-3610454acd01,indefinido,indefinido,Sim,2022-02-11
R_2fdJMk84PtpjGue,2022-02-08T13:49:17.898Z,31,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,7737a283-da23-478f-91c3-82a67a06d183,indefinido,indefinido,Sim,2022-02-11
R_vpGd4RJ663LiKpH,2022-02-08T14:14:08.591Z,7,"É péssima, nunca consigo gerenciar meus anúncios",1,,Web,OLX_SellerPro_Gestao,,desktop,d1690f16-0a71-48f5-9f33-ed18cab135cc,indefinido,indefinido,Sim,2022-02-11
R_W6hufvqXQ0Uv2CJ,2022-02-08T15:00:31.875Z,29,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,688457bc-54d8-4809-ab40-540a5bf776ad,indefinido,indefinido,Sim,2022-02-11
R_1MMK9EjvJnleJTP,2022-02-08T15:02:04.040Z,46,É muito bom gerenciar meus anúncios na OLX,4,Minha experiencia com olx e Excelente desde 2014 divulgo  com olx.,Web,OLX_SellerPro_Gestao,,desktop,9cac591e-45a8-488d-8a13-987b79f1ef03,indefinido,indefinido,Sim,2022-02-11
R_3BLXAm5dFvFsTFn,2022-02-08T16:30:05.619Z,13,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,4f8f41fb-6fbe-46da-9a5f-7f31dda8f045,indefinido,indefinido,Sim,2022-02-11
R_114xz2gRxT19qHR,2022-02-08T17:02:51.191Z,154,"É boa, consigo gerenciar meus anúncios",3,"Olx, tem uma comunicação ruim, quando acha com quem falar, reclamar! ",Web,OLX_SellerPro_Gestao,,mobile,18e48b15-353a-43bc-957a-0f3f6faac4d0,indefinido,indefinido,Sim,2022-02-11
R_enEg8cb5hXfa35L,2022-02-08T19:08:40.452Z,24,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,desktop,85957842-a214-445f-8007-17156083fc91,indefinido,indefinido,Sim,2022-02-11
R_3M3RDLB8kr3wynf,2022-02-08T21:44:10.078Z,57,É muito bom gerenciar meus anúncios na OLX,4,,Web,OLX_SellerPro_Gestao,,mobile,962e6ba1-887b-4f19-9809-04d9f3868c5c,indefinido,indefinido,Sim,2022-02-11
R_25QNZEXqBfdidfo,2022-02-08T22:42:48.580Z,34,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,5f9fcb14-69fe-48a6-8db2-e91e9506c59e,indefinido,indefinido,Sim,2022-02-11
R_3jYwZTZiq50KXdA,2022-02-08T23:34:26.736Z,70,"É ruim, tenho dificuldade",2,"sempre tenho problemas para acessar minha area de cliente, para anunciar e fazer login. faz uns 2 meses que enfrento essa dificuldade, antes era tudo tranquilo ",Web,OLX_SellerPro_Gestao,,desktop,25bf890c-5045-4678-8d72-9b5eb99c2b93,indefinido,indefinido,Sim,2022-02-11
R_3hsfCbCJGWJ872p,2022-02-08T23:57:15.345Z,93,É muito bom gerenciar meus anúncios na OLX,4,"é exelente , aplenas os planos com valor execivos diversos !
e poucas vendas na olx pay . tirando isso me traz bastante clientes novos!
obs: se o plano aumentar eu desisto da olx !",Web,OLX_SellerPro_Gestao,,desktop,760d5df8-4f3d-447e-9e1d-95370384b1e7,indefinido,indefinido,Sim,2022-02-11
R_1n8WNCE09Jw9Pql,2022-02-09T02:00:19.901Z,16,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,mobile,c747cf9d-f491-47ac-88e1-bc6ce5f2a7ee,indefinido,indefinido,Sim,2022-02-11
R_3MrGAIdzb15dYOU,2022-02-09T02:34:39.673Z,23,É muito bom gerenciar meus anúncios na OLX,4,Top top,Web,OLX_SellerPro_Gestao,,mobile,8d2f4944-d1e6-42f7-84e3-2797f724eea7,indefinido,indefinido,Sim,2022-02-11
R_2v92Q7UfWjBcvz8,2022-02-09T02:36:04.587Z,112,"É ruim, tenho dificuldade",2,"Não existe uma busca direta, para localizar um produto meu no meu perfil. outro detalhe sao as formas de pagamento, opção de pix, difícil acesso. ",Web,OLX_SellerPro_Gestao,,mobile,57e7db8a-109a-459c-a449-169218c79ff4,indefinido,indefinido,Sim,2022-02-11
R_1etmZaaW5B3IkV0,2022-02-09T11:23:09.068Z,365,"É péssima, nunca consigo gerenciar meus anúncios",1,,Web,OLX_SellerPro_Gestao,,desktop,abcb6b18-e665-4153-94e7-2bb8bff37593,indefinido,indefinido,Sim,2022-02-11
R_pbnEk46awBmGkff,2022-02-09T12:29:31.922Z,142,"É boa, consigo gerenciar meus anúncios",3,"Acho errado a questão de bloquear anúncios alegando ser repetidos, pois meu negocio é muito semelhante e a maioria dos anúncios são realmente parecidos, aluguel de loja, que tem os valores aproximados e ficam no mesmo endereço. As fotos também são muito parecidas pois somos um rede de Shopping Popular. 
",Web,OLX_SellerPro_Gestao,,desktop,08914b9d-1b8a-4c1a-8ad1-8fcd215e3f1f,indefinido,indefinido,Sim,2022-02-11
R_C7iK2WjxHl52LMR,2022-02-09T12:29:51.684Z,11,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,004a233b-9fd9-44d7-aaad-58680b898a3f,indefinido,indefinido,Sim,2022-02-11
R_2EGCr3Qarpqb7Sa,2022-02-09T14:34:50.650Z,18,"É boa, consigo gerenciar meus anúncios",3,,Web,OLX_SellerPro_Gestao,,desktop,9f98b567-f0b9-445c-a908-2062570e7192,indefinido,indefinido,Sim,2022-02-11
R_2WC0DjlrlXSaflL,2022-02-09T15:28:48.827Z,57,"É boa, consigo gerenciar meus anúncios",3,"como sou cliente antigo , poderia me presentear com destaque pelo menos de 1 anuncio",Web,OLX_SellerPro_Gestao,,desktop,5c213067-11fe-42e6-afe2-eae926dcf1dc,indefinido,indefinido,Sim,2022-02-11
